,,,,,,,,,,Roles,,,,,,
Etapa,Descripción de la etapa,Coordination Object,Qué hace la IA,Capability principal,Firewall,Legitimacy trails,Source,Privacy,Review Cycle,Secretaría,Coordinación,Miembro de Comité,Tesorería,Validador,Ciudadano,Financiador
Entender,"Identificar necesidades, tensiones o problemas de la comunidad.",Tensión / Necesidad,Sintetiza patrones y detecta temas recurrentes,Crear input comunitario,"Datos sensibles, acusaciones, conflictos activos, rumores, manipulación",Feedback ciudadano autorizado,Comunidad,Público para la comunidad / confidencial si hay datos sensibles,Cada 6 meses o cuando surja una tensión relevante,Registra necesidades y antecedentes,Organiza el proceso de escucha,Ayuda a interpretar el problema,Estima capacidad financiera preliminar,No aplica,Da input sobre necesidades,Puede señalar prioridades financiables sin condicionar decisiones
Proponer,Generar posibles soluciones o caminos de acción.,Propuesta,"Compara opciones, riesgos y datos faltantes",Crear propuesta,"Propuesta que dañe ciudadanía, excluya actores clave o prometa acciones fuera de alcance",Propuesta registrada con autoría,Miembro de Comité / Coordinación,Visible para comité; resumen público si procede,Cada reunión o cuando haya una necesidad priorizada,Registra propuestas,Revisa alineación con objetivos,Genera o mejora propuestas,Revisa viabilidad presupuestal,No aplica,Puede comentar si el proceso lo permite,Puede comentar restricciones de financiamiento sin imponer
Decidir,Elegir una propuesta o dejar constancia de un acuerdo.,Decisión / Acuerdo,"Resume decisión, razones, objeciones y fuentes",Registrar decisión,"Comprometer presupuesto público, reemplazar asamblea, decisión legal/médica/emergencia","Acuerdo, consentimiento o acta",Comité / Asamblea / autoridad correspondiente,Visible para comité; público cuando sea acuerdo comunitario,Cada reunión o cuando se cierre una decisión,Registra la decisión y su razón,Verifica que el proceso fue adecuado,Participa en la decisión,Libera fondos solo si existe autorización humana,No aplica,Consulta resultado cuando sea público,Consulta resultado y condiciones públicas
Ejecutar,Dar seguimiento a compromisos asumidos.,Responsabilidad / Compromiso,"Recuerda pendientes, fechas y responsables",Actualizar estado,"Asignar responsabilidad legal, ordenar acciones, exponer datos personales",Registro de responsable y avance,Miembro de Comité / responsable asignado,Visible para comité; público si afecta a comunidad,"Asincrónico, según fechas del compromiso",Registra avances,Da seguimiento a responsables,Ejecuta actividades,Registra uso de recursos,No aplica,Consulta estado público,Consulta estado agregado
Verificar,Revisar si los compromisos se cumplieron.,Rendición de cuentas,Detecta inconsistencias y organiza evidencia,Validar cumplimiento,"Evidencia insuficiente, conflicto de interés, acusación personal, auditoría invasiva","Métricas, evidencia, validación humana",Validador,"Público para comunidad, salvo evidencia sensible",Según resultados o cierre de compromiso,Registra resultado,Coordina revisión,Presenta evidencia,Reporta uso de recursos,Revisa cumplimiento,Consulta resultado público,Consulta métricas agregadas
Informar,"Comunicar resultados, decisiones o avances.",Noticia / Comunicado,Genera resumen claro con fuentes,Publicar resumen,"Propaganda, manipulación, suplantación, información no verificada",Comunicado aprobado,Memoria colectiva / Coordinación,Público para comunidad,Según resultados o hitos,Redacta minuta o comunicado,Autoriza mensaje,Revisa contexto,Revisa datos financieros,Valida exactitud si aplica,Recibe y consulta información,Recibe reporte agregado
Recordar,Recuperar memoria colectiva para responder preguntas.,Memoria,Responde con citas y marca incertidumbre,Recuperar contexto,"Vigilancia interpersonal, revelar preguntas privadas, fuentes no citadas",Consulta registrada con fuentes,Memoria colectiva,Según permisos del usuario,Permanente / chatbot ciudadano,Consulta historial,Consulta historial,Consulta historial,Consulta historial financiero autorizado,Consulta historial de validaciones,Pregunta sobre memoria colectiva,Ve métricas agregadas públicas
Aprender,Ajustar acuerdos o prácticas a partir de experiencia.,Retroalimentación / Cambio de política,Sintetiza aprendizajes y sugiere revisión humana,Proponer revisión,"Cambios de reglas sin proceso, captura por financiador, inferencias sin evidencia",Cambio de política / aprendizaje registrado,Comité / comunidad,Visible para comité; público si cambia reglas comunitarias,Al cerrar cada proceso o cada 6 meses,Registra cambios,Coordina revisión,Propone mejoras,Ajusta criterios financieros,Valida impacto,Da feedback,Da feedback sobre resultados agregados
